protein_accessions	count	number_accessions_group
['GCA_307943', 'GCA_191598', 'GCA_112261']	2	3
['GCA_227447']	2	1
['GCA_261347']	2	1
['GCA_103419']	2	1
['GCA_183658']	2	1
['GCA_2356']	2	1
['GCA_261478']	2	1
['GCA_115624']	2	1
['GCA_117070']	2	1
['GCA_247831']	2	1
['GCA_22773']	2	1
['GCA_308947']	2	1
['GCA_281299']	2	1
['GCA_271559', 'GCA_138823']	2	2
['GCA_172139']	2	1
['GCA_315050', 'GCA_315049']	2	2
['GCA_318950']	2	1
['GCA_240762']	2	1
['GCA_294068']	2	1
['GCA_294782']	2	1
['GCA_266011']	2	1
['GCA_136924']	2	1
['GCA_309610', 'GCA_174259', 'GCA_148827']	2	3
['GCA_119854']	2	1
['GCA_230875']	2	1
['GCA_133924']	2	1
['GCA_156290']	2	1
['GCA_123497']	2	1
['GCA_313537', 'GCA_279617', 'GCA_27750', 'GCA_107325']	2	4
['GCA_119569']	2	1
['GCA_104552']	2	1
['GCA_211148']	2	1
['GCA_99327', 'GCA_259517', 'GCA_200065']	2	3
['GCA_112032']	2	1
['GCA_286012', 'GCA_286011', 'GCA_234170', 'GCA_234169', 'GCA_108892', 'GCA_108891']	2	6
['GCA_265056']	2	1
['GCA_91610']	2	1
['GCA_136774']	2	1
['GCA_107675']	2	1
['GCA_76266', 'GCA_260099', 'GCA_230869', 'GCA_101866']	2	4
['GCA_31261']	2	1
['GCA_148286']	2	1
['GCA_159888']	2	1
['GCA_274937']	2	1
['GCA_311336']	2	1
['GCA_170070']	2	1
['GCA_139481', 'GCA_121648']	2	2
['GCA_56795']	2	1
['GCA_250964', 'GCA_180766']	2	2
['GCA_112266']	2	1
['GCA_129097']	2	1
['GCA_182345', 'GCA_154604', 'GCA_138171']	2	3
['GCA_89818', 'GCA_40708']	2	2
['GCA_106810']	2	1
['GCA_41710']	2	1
['GCA_98949', 'GCA_276583']	2	2
['GCA_152205', 'GCA_108790']	2	2
['GCA_183859']	2	1
['GCA_222831']	2	1
['GCA_195757']	2	1
['GCA_233785']	2	1
['GCA_251591']	2	1
['GCA_285753']	2	1
['GCA_113135']	2	1
['GCA_265048']	2	1
['GCA_64343']	2	1
['GCA_239150']	2	1
['GCA_284547']	2	1
['GCA_147156', 'GCA_137796']	2	2
['GCA_298709', 'GCA_157308', 'GCA_137875']	2	3
['GCA_168803']	2	1
['GCA_271615', 'GCA_143034']	2	2
['GCA_170374']	2	1
['GCA_84571', 'GCA_84569', 'GCA_319536', 'GCA_295396', 'GCA_295395', 'GCA_200474', 'GCA_200473']	2	7
['GCA_213850']	2	1
